"proj_title","proj_lead","proj_inst","proj_detail"
"Orthopaedic Surgery in the National COVID Cohort Collaborative (N3C)","Lead Investigator: Eli Levitt","Accessing Institution: University of Alabama at Birmingham","The purpose of this study is to analyze the admission rate, inpatient hospitalization measures, and outcomes associated with orthopedic patients who presented during the global COVID-19 pandemic."
"Outcomes of Acute Pulmonary Embolism in COVID-19","Lead Investigator: Muhammad Gul","Accessing Institution: University of Kentucky","Higher incidence of acute pulmonary embolism has been noted in in COVID-19  than in other viral infections. Although it is assumed that pulmonary embolism has an impact on the prognosis in COVID-19 patients, there is scarcity of data in favor of this assumption. N3C database (Level 2) data will be explored to determine outcomes of acute pulmonary embolism in a logistic regression analysis."
"Phenome-wide association study of COVID-19 outcomes using electronic health records and informatic resources ","Lead Investigator: Kyle Webb","Accessing Institution: National Human Genome Research Institute","We are requesting access to the N3C data as part of an ongoing effort to elucidate comorbidities and hospital outcomes associated with COVID-19 through the use of EHR resources. Broadly speaking, we intend to use these data to undertake several scientific studies involving descriptions of comorbidities of COVID-19 as well as characterizing the natural course of disease in the hospital setting longitudinally. We seek to programmatically assess de-identified data in the National COVID Cohort Collaborative (N3C) enclave to better understand phenotypic categorization of COVID-19 and we will rely on statistical methodology and machine learning techniques to gain insights using this data in conjunction with publicly available datasets."
"Postoperative complications following total joint arthroplasty in Covid+ patients","Lead Investigator: Jami Pincavitch","Accessing Institution: West Virginia University","After Covid diagnosis, there are changes to the pro-inflammatory/pro-thrombotic state. In elective joint replacement surgery, this inflammation/thrombosis could lead to increased postoperative risks. Will be utilizing data to understand the safest timing for elective surgery following Covid infection and complication rates compared to cohorts."
"Predicting Adverse Outcomes in Patients Having Confirmed COVID-19 Infection Using the National COVID Cohort Collaborative (N3C) Data Using Data Mining Methods","Lead Investigator: Nabeal Saif","Accessing Institution: George Mason University","Predicting Adverse Outcomes in Patients Having Confirmed COVID-19 Infection Using the National COVID Cohort Collaborative (N3C) Data Using Data Mining Methods"
"Predicting Long-Term Kidney Disease Effects of COVID-19 Infection","Lead Investigator: Yongqun He","Accessing Institution: University of Michigan?Ann Arbor","The infection with COVID-19 may result in increased risk for kidney diseases. For example, Acute kidney injury (AKI) is a significant complication of COVID-19. The incidence of AKI in hospitalized patients varies from 0.5% to 75%. The mortality rate for patients with kidney disease is also significantly higher than the general infected population. However, the big variation of AKI incidence in COVID-19 patients appears to depend on many factors such as race, region, and disease severity. We plan to use the N3C cohort to detect, compare, and analyze the occurrences of kidney disease following COVID-19 infection. We will apply machine learning techniques to try to better predict patients that are more likely to develop a kidney disease following COVID-19 infection. This project will function as a use case for the Machine Learning Clinical Domain Team to develop best practices and reproducible procedures for researchers to reapply within the N3C Data Enclave."
"Predicting Long-Term Psychiatric Effects of COVID-19 Infection","Lead Investigator: Ben Coleman","Accessing Institution: The Jackson Laboratory","Many have predicted that infection with COVID-19 may result in increased risk for new onset mental illness. However, studies of these risks have found mixed results. We plan to use the N3C cohort to elucidate rates of new onset mental illness following COVID-19 infection compared to patients with a similar respiratory infection. Additionally, we will apply machine learning techniques to try to better predict patients that are more likely to develop a mental illness following COVID-19 infection. This project will function as a use case for the Machine Learning Clinical Domain Team to develop best practices and reproducible procedures for researchers to reapply within the N3C Data Enclave."
"Predicting organ failure in patients with COVID-19","Lead Investigator: Chengda Zhang","Accessing Institution: Oregon Health & Science University","Patients with COVID-19 may demonstrate completely different clinical course. While most patients remain asymptomatic or mildly symptomatic, some patients could experience progressively worsening multi-organ failure, requiring intensive care. The underlying pathophysiology is unclear, however, early recognition of patients with high risk for deterioration could significantly help with clinical decision making, resource allocation, and potentially shed light on further pathophysiological studies. This project aims to develop machine learning algorithms to select patients' of high risk for respiratory failure, renal failure and heart failure from COVID-19.The data that would be necessary to train the machine learning algorithm would include COVID-19 positive patients' demographics (age, gender, ethnicity, smoking history), existing medical conditions, home medication, vital signs, common lab results (CBC, chemistry, troponin, lactate, arterial/venous blood gas). In order to determine patients' outcome, we would need to access patient's lab results such as serum creatinine, N-terminal (NT)-pro hormone BNP (NT-proBNP), BNP, urinanalysis, arterial/venous blood gas; documentation regarding whether patients required mechanical ventilation, and patients' daily intake-output; and imaging studies such as chest CT, chest Xray, echocardiogram with interpretation. In order to manage the level of noise and increase algorithm performance, potential confounding factors may need to be considered in the algorithm, such as dose and frequency of medications that patients are receiving 2 weeks prior to the onset of acute organ failure, severity of patients' pre-existing organ failure, such as chronic renal failure, COPD/asthma and chronic heart failure (which can be assessed by certain lab results, previous pulmonary function tests, echocardiogram, as well as patient's living situation (home vs long-term care facility)). Ideally, all medication record, vital signs and lab results should be timestamped."
"Predicting patient severity and developing comprehensive package of interventions","Lead Investigator: Jinha Lee","Accessing Institution: Bowling Green State University","The 2019 novel coronavirus (COVID-19) has been accompanied by severe economic, social, and healthcare disruptions. In contrast to other viruses such as influenza, SARS and MERS, COVID-19 pandemic has caused crisis in a number of ways, including uncertainties in treatments and interventions as well as the effectiveness of responses from the point of view of public health system. The focus of this project is to apply machine-learning based algorithm to: 1) identify clinical characteristics of patients associated with severity levels 2) predict trajectory of patient severity(asymptomatic, mildly symptomatic and severe symptomatic) based on clinical characteristics; and 3) provide clinical course and comprehensive package of interventions for each trajectory of patient severity. Machine-learning based prediction will be used for front-liner?s effective clinical decision making as well as preparing resources and reducing burden in care delivery from health system."
"Prediction model of risk factors","Lead Investigator: Asma Hussain M Al Bishi","Accessing Institution: George Mason University","Predicting risk factors of the Patients Having Confirmed COVID-19 Infection Using the National COVID Cohort Collaborative (N3C) Data Using Data Mining Methods"
"Predictive Models for Long Covid-19 using Network and Patient Characteristics","Lead Investigator: Kushagra Kushagra","Accessing Institution: Auburn University","Many previous studies(e.g., Matricardi et. al.(2020), Jehi, et al. (2020)) have focused on predictive models related to short COVID-19 at the human or disease level using patient characteristics, patient?s history, etc. These studies don?t focus on the chronic repercussions of the virus, that is termed as ?long COVID-19.?Other models that make community-based predictions are also based on patient medical data and location descriptions. However, these models disregard the embedded connectedness(e.g., network characteristics)of various comorbidities to understand the long COVID-19 effects, which leads to underperforming models for health outcomes.The proposed study will investigate the long-term effects of COVID-19 such as impact on heart and nervous systems, chronic fatigue, etc. while considering their network characteristics of the disease, individual patient characteristics, and health conditions of patients at the aggregate level. The proposed research aims to develop a comprehensive descriptive and predictive model for long COVID-19 by considering patient characteristics, demographics, medical history and their connectedness properties using network analytic approaches. Network features such as density, page rank, eigenvector centrality, betweenness centrality, etc., for each (sub) network that they belong to could provide features for the predictive model. Research questions that we will explore in this study are: Question1: Does patient belonging to a network (subgraph) has high risk propensity to develop particular types of long-COVID-19 symptoms than a patient belonging to a heterogeneous network(subgraph)?Question 2: Predictive model for long COVID-19that includes patient as well as their connectedness to comorbidities and conditions?"
"Prevalence and outcomes of co-infection and super-infection with SARS-CoV-2 and other pathogens","Lead Investigator: Jackson  Musuuza","Accessing Institution: University of Wisconsin?Madison","Patients infected with SARS-CoV-2 (the virus that causes COVID-19) can have other respiratory infections present at the time of SARS-CoV-2 infection diagnosis. In medical terms this is called co-infection. On the other hand, these patients can acquire new infections during the process of treatment for COVID-19. This is referred to as superinfection. Recent research has shown that the presence of either co-infections or super-infections may lead to poor patient outcomes such as an increased risk of death and higher likelihood of the need to help patients breathe (mechanical ventilation), prolonged length of hospital stay (LOS) and need for intensive care unit (ICU) admission. In this study we will use the N3C data to determine the proportion of COVID-19 patients that also have co-infections and that of COVID-19 that subsequently get super-infections. We will also examine factors that might increase the likelihood of having these extra infections among COVID-19 and outcomes of occurrence of co-infections and super-infections among COVID-19 patients."
"Protective Effects of Medications Against SARS-CoV-2 Infection in Patients with Existing Prescriptions","Lead Investigator: Steve Johnson","Accessing Institution: University of Minnesota","A number of commonly used prescription medications have been identified as having potential activity against SARS-CoV-2.  It is not practical to perform randomized controlled trials to evaluate the effectiveness of all of these medications. Therefore, we will assess the potential protective effects of these medications using observational data from patients who are taking these medications to see if they subsequently become infected with SARS-CoV-2 or develop COVID-19 symptoms at a different rate compared to controls."
"Quantifying and comparing Covid-19's latent effects on Native Populations across states. ","Lead Investigator: Alexander McLeod","Accessing Institution: Texas State University","In general, native people are more likely to be hospitalized from Covid-19 than whites. Current literature describes these ethnic and racial differences in burdens of this disease. On the other hand, a detailed analysis that incorporates spatio-temporal and social determinants of health is lacking.  This research proposes a Hierarchical Bayesian Model to incorporate the effects of social determinants of health in conjunction with spatial and temporal effects. This model would allow us not only to quantify effects of various variables of interest but also to identify areas that behave different than what is expected. N3C Limited Data Set is fundamental for this research as it has the health outcomes and zip codes of the patients? address."
"Reoccurrence of COVID infection and related long term impact","Lead Investigator: Ran Dai","Accessing Institution: University of Nebraska Medical Center","With the progress of COVID pandemic, reoccurrence of COVID cases have been reported not only among people without symptoms or with mild symptoms, but also have occurred with patients who have been hospitalized, recovered with two consecutive negative tests and then infected again with severe symptoms. Understanding the mechanism behind the reoccurrence of COVID and the severity of the disease related to it is important for fighting COVID in the long term. We will develop novel competing risk models and machine learning algorithms to understand this question."
"Retrospective identification of medications to treat COVID-19","Lead Investigator: Ben Richardson","Accessing Institution: Southern Illinois University School of Medicine","COVID-19 is a disease caused by the novel coronavirus SARS-CoV-2 which has infected over 11 million people in the US and killed over 250,000. Many avenues are currently being pursued to help mitigate the spread and lethality of the virus, including vaccine development, more rapid testing, and repurposing of already-approved pharmacotherapeutics. Unfortunately, the novelty of SARS-CoV-2 is requiring the development of new treatments, which takes time and are not yet available for successfully treating and eliminating the virus. However, repurposing already-approved drugs may be a more rapidly-available solution in the short term while vaccines are not yet widely available. To evaluate the potential therapeutic benefit of existing drug regimens to limit duration and severity of COVID-19 disease, the disease (observation) duration, death events, and multi-day hospital stays in COVID-19-positive patients in the N3C database will be evaluated as they relate to patient exposures to specific drug classes. We will evaluate level 2 de-identified data to identify relationships between lower disease severity/shorter duration and concurrent exposure to specific drugs or drug class may identify novel treatment strategies to lower disease severity, death rates, and reduce spread. Such identification of effective pharmacotherapies may also highlight novel targets for the development of future treatments or vaccines."
"Risk factors, care disparities and outcomes for gastrointestinal hemorrhage in patients with COVID-19 infection ","Lead Investigator: Armaghan-e-Rehman Mansoor","Accessing Institution: West Virginia University","Our project aims to determine the prevalence of gastrointestinal hemorrhage in patients with COVID-19 infection. We also aim to compare treatment pathways and outcomes in patients with or without COVID-19 infection who present with gastrointestinal hemorrhage. Our secondary aim is to further explore the risk factors for gastrointestinal hemorrhage in patients with COVID-19 infection. Lastly, the treatment of gastrointestinal hemorrhage involves potentially aerosol-generating procedures such as endoscopic evaluation. Therefore, we wish to explore the concern that these procedures may be used less frequently in patients with COVID-19 infection."
"Role of comorbidities, sex hormones, inflammatory biomarkers, and socio-demographic factors in sex differences of COVID-19 outcomes","Lead Investigator: Yilin Yoshida","Accessing Institution: Tulane University","Coronavirus disease 2019 (COVID-19) is characterized by a male predominance in severity and mortality worldwide, but reasons underlying the sex-bias are unclear. Sex differences in comorbidities, sex hormones, and inflammatory biomarkers may all be factors involved in the sex differences of COVID-19 outcomes. However, few studies examined the role of these factors in COVID-19 outcomes stratified by sex. In our recent study in a COVID cohort of adults in Louisiana, we observed sex differences in comorbidities and biomarkers as predictors of COVID-19 severe outcomes. Our study underscores the need for a larger study with sex-stratification and robust analysis to determine if our findings are region-specific or hold generalizability to other populations. We propose to use the rich and population-based National COVID Cohort Collaborative (N3C) data to examine to what extent comorbidities, female sex hormones, and inflammatory biomarkers represent sex-specific determinants of COVID-19 outcomes."
"Rural Health Domain Team General Workspace","Lead Investigator: Will Beasley","Accessing Institution: University of Oklahoma Health Sciences Center","The Rural Health Domain Team seeks to understand the epidemiology, utilization, treatment, and outcomes of the COVID-19 pandemic in rural communities. The overarching goal is to develop better evidence for potential differences in the COVID-19 epidemic response and outcomes for rural health care centers and rural dwellers. Studying the at-risk populations and unique challenges faced by rural communities during and after the pandemic may provide opportunities for improving rural health and health care.Adapted from https://covid.cd2h.org/rural-health"
"Simulation of existing FDA- approved active compounds against COVID protein primary and sub-structures to interrupt protein activity followed by epidemiological, in-vitro and in-vivo validation","Lead Investigator: Joy Alamgir","Accessing Institution: ARI Science","Our overall project attempts to find a viable cocktail of SARS-CoV-2 protein interruption compounds from among 1,251 FDA approved compounds to reduce COVID-19 disease severity or outcome. We plan to do this via (a) our novel high performance quasi-quantum simulation platform using these FDA-approved compounds against SARS-CoV-2 protein structures and sub-structures, (b) epidemiological analysis of discovered candidates, (c) in vitro bio-physical, bio-chemical, and antiviral assays and (d) in vivo small animal model assays. Each of the above steps serve as a selection funnel so that by the time we are ready for in vivo tests a reasonable basis for success will be established. Step (b) above ? the epidemiological analysis step - is the focus on this DUR as we have already conducted super-computing simulation results on 7 of 25 SARS-CoV-2 proteins. We are requesting HIPAA Safe Harbor data without any address, name or birth data information but inclusive of age which is effectively de-identified Level 2 data per our understanding."
"Sleep disorders as risk factors for COVID complications","Lead Investigator: Diego Mazzotti","Accessing Institution: University of Kansas Medical Center","Optimal sleep health is essential to modulate immune responses. Sleep disorders such as obstructive sleep apnea and insomnia are highly prevalent in the population and might impact the risk of COVID-19 infections and clinical consequences. In this study, we will explore whether patients diagnosed with sleep disorders are at increased risk of presenting positive COVID-19 diagnosis and worse complications. We will explore the de-identified data available on N3C Enclave to assess the hypothesis that underlying sleep disorders are associated with increased risk of a positive results, as well as worse complications such as increased length of stay,  major respiratory diseases readmission rates and mortality."
"Smoking and COVID-19 Outcomes in U.S. Adults (SCOTUS)","Lead Investigator: Jay Atanda","Accessing Institution: United States National Library of Medicine","Recent systematic reviews exploring the association between smoking and COVID-19 related outcomes provide conflicting evidence. Farsalinos et al (2020) for example raise the hypothesis that nicotine may have a beneficial effect on COVID-19 in their meta-analysis of 13 published papers. Their preliminary analysis did not support the argument that current smoking is a risk factor for hospitalization for COVID-19. Glantz et al (2020) on the other hand, in their own review of 12 published papers report a significant association between smoking and COVID-19 progression. At least three earlier reviews also reached different conclusions or were inconclusive. All highlight these gaps 1) the importance of data where smoking status are accurately recorded, 2) the role of and possible influence of confounding factors and selection bias that underlying studies did not consider, and 3) the need for observational studies where smoking is the primary exposure of interest. Our objective is to conduct a retrospective case-control study using de-identified data from the National COVID Cohort Collaborative (N3C) and; 1) examine the prevalence of current smoking among U.S. hospitalized cases with COVID relative to the general population, and 2) examine the association between smoking status and COVID-19 clinical outcomes. This study will contribute to the literature on smoking association with COVID-19 outcomes and fill the gaps identified above, and is especially important here in the U.S. (only one of the studies in the existing reviews is from the U.S.) where 34.2M adults currently smoke and 16M live with a smoking-related disease."
"Stage Aware Prediction of COVID19 Disease Progression","Lead Investigator: Charles Livermore","Accessing Institution: University of Houston","Development of a deep learning method to perform prediction of COVID19 disease progression in patients with respect to the stages of clinical treatment. Our intent is to utilize statistically similar data for the purposes of initial data exploration and model development in this domain."
"Statistical Methods for Incorporating Observational Data on Covid-19 Infected individuals into sub-group analyses for randomized controlled trials evaluating therapeutics for Covid-19","Lead Investigator: Thomas Murray","Accessing Institution: University of Minnesota","This project focuses on the development of Bayesian methods that allow for the incorporation of observational data into randomized clinical trials with the aim of improving power for key comparisons and precision of estimates. These methods aim to account for potential systematic biases as well as measurable selection biases."
"Stroke and COVID Population: An N3C and UVA OMOP analysis","Lead Investigator: Johanna Loomba","Accessing Institution: University of Virginia","This project will use the limited dataset N3C data to characterize COVID-19 patients who suffer stroke.  The focus will be on ischemic stroke but it will also explore bleeding strokes (hemorrhagic stroke).  We will explore if there are particular patterns that suggest that the COVID-19 stroke population is different from the general stroke population."
"Study effects of COVID-19 Infection on cancer patients","Lead Investigator: Umit Topaloglu","Accessing Institution: Wake Forest Baptist Medical Center","Recent studies highlight the importance of COVID-19-cancer precision medicine. Published on Lancet, Lee and colleagues(Lee, Cazier et al. 2020) find that the only primary cancer type that demonstrates statistically significant mortality changes due to COVID-19, after adjusted for age and sex, is leukemia (OR: 2.25; 95% CI: 1.13 ? 4.57; p-value: 0.023; ICD10: C51-C58. COVID-19. Another study published on Nature Medicine, Robillotti et al. (Robilotti, Babady et al. 2020) found that, in the cancer cohort of Memorial Sloan Kettering Cancer Center (423 symptomatic COVID-19 cases out of 2,035 cancer patients tested between 3/10/2020 and 4/7/2020), immune checkpoint inhibitors and age > 65 together are predictors for hospitalization and severe disease of COVID-19 among cancer patients. These studies prove the concept of the heterogeneity of COVID-19?s impact on cancer patients. A systematic data mining on a more representative, broader cohort with rich clinical, demographic, and socioeconomic features will provide more insights on the risk population and actionable knowledge.  Correspondingly, our Specific Aims are:1- Identify risks factors for cancer patients based on primary site and morphology on a larger scale due to varying results (e.g. Gustave Roussy and CCC19): Death and severity of COVID-19 (e.g. ICU use, WHO Ordinal Scale) will be used for outcome,2- Development of cancer phenotype definitions on Palantir to be used for this study. Atlas has already 96 predefined concept sets for carcinoma.3- Study of outcomes in cancer patient from healthcare utilization effect perspective: including delays in treatment due to COVID-19 and worsening effects including AE (i.e. CTCAE Diagnosis initially and NLP generated AE symptoms)"
"Study Phenotype of COVID-19 in Patients with Hemophilia: A National Cohort Study","Lead Investigator: Anjali Sharathkumar","Accessing Institution: University of Iowa","Hypercoagulable state plays pivotal role in pathogenesis of Novel Coronavirus 2019 SARS-CoV-2 (COVID-19) disease. It is characterized by clinical thrombosis in up to 30% of patients, which in turn is associated with poor outcome. In general, the prothrombotic milieu is mediated through activation of coagulation and elevation in procoagulant proteins such as factor VIII(FVIII), factor IX(FIX), Von Willebrand factor (VWF) and fibrinogen. Established risk factors for COVID-19 including age, gender, cancer, diabetes and hypertension are known to be associated with elevation of these procoagulant proteins implying their role in determining the disease severity. Factors VIII and IX are critical for thrombogenesis as hemophilia patients with deficiency of these proteins, hemophilia A and B respectively, experience life-threatening bleeding diathesis. Therefore a subset of hemophilia patients with severe bleeding phenotype require treatment with regular administration of FVIII and FIX concentrates to prevent and treat bleeding. Never the less, it is unclear if patients with hypo-coagulable state associated with congenital deficiency of FVIII and FIX proteins are less susceptible to SARS-CoV-2 infection and or have milder course if infected by this virus. The proposed study leverages upon the wealth of N3C Data Enclave and its powerful analytic capabilities. The deidentified dataset from N3C data will be used to characterize the phenotypic variability and outcomes of COVID-19 in hemophilia patients B. The research activities in this proposal will not only enable us to develop tailored strategies for better prevention and treatment of COVID-19 in hemophilia population but will guide us about appropriate regimen for factor replacement therapy during this pandemic."
"Study the Epidemiology and Outcomes of COVID-19 in Patients with Sickle Cell disease: A National Cohort Study","Lead Investigator: Anjali Sharathkumar","Accessing Institution: University of Iowa","Inflammation and vasculopathy plays pivotal role in pathogenesis of Novel Coronavirus 2019 SARS-CoV-2 (COVID-19) disease.. Sickle cell disease is a chronic inflammatory condition and associated with procoagulant milieu. It is associated with multiorgan involvement including lung, brain, and kidneys. Majority of these patients are treated with disease modifying therapy with hydroxyurea. It is unclear if hydroxyurea therapy offers any protective effect with COVID-19 The proposed study leverages upon the wealth of N3C Data Enclave and its powerful analytic capabilities. The deidentified dataset from N3C data will be used to characterize the epidemiology and outcomes of COVID-19 in patients with sickle cell disease. The research activities in this proposal will not only enable us to develop tailored strategies for better prevention and treatment of COVID-19 in hemophilia population but will guide us about appropriate regimen for factor replacement therapy during this pandemic."
"Studying COVID-19 Remission, Recrudescence, Recurrence, and Reinfection","Lead Investigator: James Cimino","Accessing Institution: University of Alabama at Birmingham","The purpose of the study is study patients who have had one or more positive SARS-CoV-2 tests (tests for the virus that causes COVID-19), followed by one or more negative tests, followed by one or more positive tests in order to examine the frequency of reinfection versus recurrence of infection."
"Testing Analysis","Lead Investigator: San Chu","Accessing Institution: Louisiana State University","This is a testing for using level data 1."
"Testing biomarkers and clinical associations","Lead Investigator: Keith Crandall","Accessing Institution: George Washington University","In response to the COVID-19 outbreak, scientists and medical researchers are capturing a wide range of host responses, symptoms, and lingering problems post-recovery within the human population. The heterogeneous data poses a challenge for efficient extrapolation of information into clinical applications. We have rapidly collated 145 COVID-19 biomarkers through crowdsourcing efforts by leveraging a robust data model developed to capture cancer biomarker data. Our expanding resource has comprehensive data from multiple structured ontology databases. Most biomarkers are related to the immune (SAA, TNF-?, and IP-10) or coagulation (D-dimer, antithrombin, and VWF) cascades, suggesting complex vascular pathobiology of the disease. Furthermore, we observe commonality with established cancer biomarkers (ACE2, IL-6, IL-4 and IL-2) as well as biomarkers for metabolic syndrome and diabetes (CRP, NLR, LDL). Given our progress in establishing a COVID-19 biomarker knowledgebase, we are now in a position to validate proposed associations between biomarkers and clinical outcomes with the exceptional N3C data enclave.  We propose to test our biomarker associations using insights from our database for biomarker selection, but focusing solely on N3C data to test for associations of biomarkers with clinical outcomes. All analyses will be conducted within the N3C enclave. No data will be imported or exported. Our results will provide further evidence to support (or refute) biomarker association with clinical outcomes, leading to better application of biomarkers in clinical settings."
"The Effect of COVID-19 Stay-At-Home Orders on Hemoglobin A1c Levels in Diabetic Patients","Lead Investigator: Annette Hays","Accessing Institution: University of Illinois at Chicago","According to the Centers for Disease Control (CDC), approximately 30.3 million people or 9.4% of the United States (US) population had diabetes mellitus in 2015. As uncontrolled diabetes may lead to increases in morbidity, mortality, and costs of care for patients, it is paramount that patients achieve and maintain their glycemic goals. In an effort to promote positive glycemic outcomes, a reliable patient-provider relationship and regular follow-up are cornerstones of quality diabetic care. ?n March 2020, several states underwent emergency stay-at-home orders in an effort to suppress the peak of the Novel Coronavirus, COVID-19. Healthcare facilities were forced to alter their care and reschedule routine care patients for later dates. Among these routine patients were both controlled and uncontrolled diabetics. Using the National COVID Cohort Collaborative (N3C) database, we will retrospectively review patients with a documented COVID-19 infection and diabetes to evaluate clinical outcomes, including A1c control."
"The relationship between cardiac arrhythmias and SARS-CoV-2; an incidence and mortality analysis","Lead Investigator: Yousif Arif","Accessing Institution: University of California, Irvine","We already know that patients admitted to the ICU have an increased risk for developing cardiac arrhythmias (atrial fibrillation, atrial flutter, sinus tachycardia, etc.). Atrial fibrillation (AF) is a common arrhythmia in the critically ill and presents with an increased risk for thromboembolic stroke and heart failure. In the ICU, AF has been shown to be associated with adverse outcomes. The acute loss of atrial systole and onset of rapid ventricular rates associated with new-onset AF leads to hemodynamic instability in the critically ill. The etiology of new-onset AF explains why it can be a marker for patient outlook/status. Many patients infected with SARS-CoV-2 report palpitations as a symptom of the disease course. With many of the ICU beds currently being utilized to treat patients with a more severe case of SARS-CoV-2, we are interested in investigating whether there is a relationship between SARS-CoV-2 and the development of cardiac arrhythmias (such as AF). We are also interested in elucidating whether or not there is an association between cardiac arrhythmias and mortality amongst SARS-CoV-2 patients."
"Towards the development of a learning health system in the COVID-19 pandemic: analysis of patient data to assist clinical decision making","Lead Investigator: Kaitlyn Johnson","Accessing Institution: The University of Texas at Austin","We intend to use the NCATS N3C Data Enclave to perform data-driven analysis of patients hospitalized with COVID-19 to improve prognosis and treatment decision-making. We plan to 1. Identify prognostic indicators of COVID-19 outcomes in hospitalized patients 2. Compare the clinical benefits of different treatments and interventions and 3. Identify subsets of patients benefiting from specific treatments using immunological biomarkers. To perform these analyses, we will use risk-stratification analysis, propensity scoring, prognostic modeling, and longitudinal data analysis, and machine learning predictive algorithms. We expect to mainly use R and its built in packages to do this work, although we may also use python. We are requesting de-identified data from Level 2 of the N3C Data Enclave to complete this work because we want to link patient demographics with treatments and outcomes."
"Treatment associated with lower mortality in hospitalized COVID-19 patients","Lead Investigator: Hong Liu","Accessing Institution: University of California, Davis","The scale of COVID-19 cases is unprecedented. Our objective is to investigate the treatments that are associated with a lower mortality in hospitalized COVID-19 patients. This is a retrospective large cohort study involving all COVID-19 patients who required hospitalization. The exposures are any COVID-19-related treatments. The outcome is all-cause in-hospital mortality. We use Cox regression in analysis. We will estimate survival using the product-limit Kaplan-Meier curve and use the log-rank test to compare survival curves. We will use a complete case analysis. Treatments administered with a frequency less than 1% will not be considered in the univariate analysis. We then first fit a univariate Cox proportional-hazards model to screen for potential therapies that are associated with mortality. We then use a multivariable Cox proportional-hazards model to estimate independent associations between therapies and hospital mortality. The multivariable analysis includes known patient risk factors for mortality (age, sex, hypertension, requirement for invasive mechanical ventilation) and the therapies selected based on the results of univariate analysis. This is an exploratory investigation. The results of this study will facilitate the investigation of the effective treatments of COVID-19."
"Understanding non-invasive ventilation treatment failures in COVID-19","Lead Investigator: Ivy Benjenk","Accessing Institution: George Washington University","Intubation and invasive mechanical ventilation (IMV) is widely recognized as a necessary intervention for patients suffering from respiratory failure. Critically ill COVID-19 patients often present with severe hypoxia, prompting the need respiratory support. However, early reports revealed a high rate of mortality among COVID-19 patients who received mechanical ventilation. Additionally, intubation presents risks for COVID-19 transmission to providers.  This has prompted further investigation into noninvasive mechanical ventilation (NIMV) to avoid intubation if possible, such as high flow nasal cannula (HFNC) or noninvasive positive pressure ventilation (NIPPV). Both HFNC and NIPPV are proven modalities in non-COVID-19 pathologies, such as flash pulmonary edema and COPD exacerbations. NIPPV was shown to reduce intubation by 70% for critically ill SARS-Cov-1 patients. Data is still limited on whether NIPPV reduces intubation in SARS-Cov-2. This study aims to better understand the characteristics of patients with COVID-19 that are most likely to benefit from NIMV in order to guide clinical decision making."
"Understanding the impact of HIV-infection on COVID-19 ","Lead Investigator: Sandra Safo","Accessing Institution: University of Minnesota","Several risk factors have been documented to be associated with severe COVID-19 including comorbidities such as cardiovascular diseases (CVD), chronic respiratory diseases (e.g., chronic obstructive pulmonary diseases [COPD]), and epidemiologic factors such as age, sex, and race. Meanwhile, the role of HIV infection and immunosuppression on the severity of COVID-19 remains unclear.  Persons living with HIV (PLWH) oftentimes have CVD and COPD earlier and at rates higher than the general population. In addition, research suggests that inflammatory biomarkers are associated with severity of COVID-19. In PLWH, there is an increased levels of inflammatory biomarkers that are associated with poor outcomes such as death.  Our team is requesting access to the Level 2 de-identified data to gain a better understanding of the impact of HIV infection on the severity of COVID-19, and to identify potential individuals and subgroups with increased risk for severe illness."
"Use, Safety and Effectiveness of Therapies to Treat COVID-19","Lead Investigator: Hemalkumar Mehta","Accessing Institution: Johns Hopkins University","The coronavirus pandemic has generated enormous interest in identifying effective treatments that reduce morbidity and mortality from COVID-19. Since the beginning of the pandemic, important discoveries regarding potential treatments for COVID-19 have been made, ranging from the role of products such as remdesivir and dexamethasone in treating individuals with active infection to the safety of ambulatory use of angiotensin-converting enzyme (ACE) inhibitors and angiotensin receptor blockers (ARBs) among individuals who may be at risk of COVID-19 infection. Despite these insights, innumerable questions remain. In part, this is because while clinical trials typically represent the gold standard method to assess therapeutic efficacy, few trials have been completed and real-world use often differs from the context in which products are studied. In addition, randomized trials are generally designed to quantify efficacy but often do not allow for rigorous assessment of potentially uncommon but clinically important safety concerns. Thus, the importance of the work of the Pharmacoepidemiology Task Team, namely, to evaluate important, empirically testable hypotheses regarding the use, safety and effectiveness of therapies for COVID-19 using a limited data set from the N3C.  These data will provide urgently needed information regarding the use, safety and effectiveness of products used among patients with COVID-19."
"Using Machine Learning to differentiate COVID-19 infection with seasonal flu ","Lead Investigator: Ran Dai","Accessing Institution: University of Nebraska Medical Center","With the COVID-19 pandemic ongoing and the flu season approaching, there will be a challenge for people to differentiate the two diseases based on their symptoms. Therefore, the COVID-19 testing centers will potentially face challenges of reaching testing capacity and higher risks for infection due to increased number of people going on site tests. Our goal is to use machine learning method to build a classification model to establish a pre-test screening system to help people self-evaluate their risks with COVID-19 during the flu season to decrease their possibility with COVID-19 infection. We are requesting Level 2 de-identified data for this purpose."
